"AtcoCode","NaptanCode","PlateCode","CleardownCode","CommonName","CommonNameLang","ShortCommonName","ShortCommonNameLang","Landmark","LandmarkLang","Street","StreetLang","Crossing","CrossingLang","Indicator","IndicatorLang","Bearing","NptgLocalityCode","LocalityName","ParentLocalityName","GrandParentLocalityName","Town","TownLang","Suburb","SuburbLang","LocalityCentre","GridType","Easting","Northing","Longitude","Latitude","StopType","BusStopType","TimingStatus","DefaultWaitTime","Notes","NotesLang","AdministrativeAreaCode","CreationDateTime","ModificationDateTime","RevisionNumber","Modification","Status"
"1800SB33691","mangwdtj","",,"Burton Road/Darlington Road","","Darlington Road","","O/S HOUSE 95","","BURTON ROAD","","","","O/s House 95","","SW","E0029519","West Didsbury","Didsbury","Manchester","","","","","0","U",384268,392637,-2.23824,53.4303,"BCT","MKD","OTH","","","","083","2007-11-01T00:00:00","2007-11-01T00:00:00",0,"new","act"
"1800SB33701","mangwdtm","",,"Lapwing Lane/Clyde Road","","Clyde Road","","OPPOSITE HOUSE","","LAPWING LANE","","","","Opp House 32","","SE","E0029519","West Didsbury","Didsbury","Manchester","","","","","1","U",384245,392223,-2.23857,53.42658,"BCT","MKD","TIP","","LOCATION AMENDED","","083","2010-09-16T00:00:00","2010-09-16T00:00:00",3,"new","act"
"1800SB33711","mangwdtp","",,"Lapwing Lane/Clyde Road","","Clyde Road","","BARCLAYS BANK","","LAPWING LANE","","","","Barclays Bank","","NW","E0029519","West Didsbury","Didsbury","Manchester","","","","","1","U",384151,392317,-2.23999,53.42742,"BCT","MKD","TIP","","","","083","2007-11-01T00:00:00","2007-11-01T00:00:00",0,"new","act"
"1800SB33721","mangwdtw","",,"Burton Rd/The Metropolitan","","The Metropolitan","","OS LAUNDRETTE","","BURTON ROAD","","","","Stop K","","NE","E0029519","West Didsbury","Didsbury","Manchester","","","","","1","U",384046,392357,-2.24157,53.42778,"BCT","MKD","TIP","","","","083","2007-11-01T00:00:00","2007-11-01T00:00:00",0,"new","act"
"1800SB33731","mangwdwa","",,"Burton Rd/The Metropolitan","","The Metropolitan","","FURNITURE SHOP","","BURTON ROAD","","","","Stop L","","SW","E0029519","West Didsbury","Didsbury","Manchester","","","","","1","U",384036,392325,-2.24172,53.42749,"BCT","MKD","OTH","","","","083","2007-11-01T00:00:00","2007-11-01T00:00:00",0,"new","act"
"1800SB33741","mangwdwd","",,"Burton Rd/Withington Community Hosp","","Community Hosp","","PARISH CHURCH","","BURTON ROAD","","","","Stop A","","SW","E0029519","West Didsbury","Didsbury","Manchester","","","","","0","U",383915,392146,-2.24353,53.42588,"BCT","MKD","TIP","","STOP NAME AMENDED","","083","2008-02-15T00:00:00","2008-02-15T00:00:00",1,"new","act"
"1800SB33751","mangwdwg","",,"Burton Rd/Withington Community Hosp","","Community Hosp","","COMMUNITY HOSP","","BURTON ROAD","","","","Stop B","","NE","E0029519","West Didsbury","Didsbury","Manchester","","","","","0","U",383885,392115,-2.24398,53.4256,"BCT","MKD","TIP","","STOP NAME AMENDED","","083","2008-02-15T00:00:00","2008-02-15T00:00:00",1,"new","act"
"1800SB33781","mangwdwj","",,"Barlow Moor Rd/Southern Cemetery","","Southern Cemetery","","NR HOUSE 165","","BARLOW MOOR RD","","","","Stop H","","NW","E0028713","Chorlton","Manchester","","","","","","0","U",383228,392001,-2.25386,53.42455,"BCT","MKD","TIP","","","","083","2007-11-01T00:00:00","2007-11-01T00:00:00",0,"new","act"
"1800SB33791","mangwdwm","",,"Barlow Moor Road/Winster Avenue","","Winster Avenue","","OPPOSITE HOUSE","","BARLOW MOOR RD","","","","Stop F","","SE","E0029519","West Didsbury","Didsbury","Manchester","","","","","0","U",383422,391913,-2.25094,53.42377,"BCT","MKD","OTH","","NAME AMENDED","","083","2010-03-30T00:00:00","2010-03-30T00:00:00",1,"new","act"
"1800SB33801","mangwdwp","",,"Barlow Moor Road/Winster Avenue","","Winster Avenue","","OS HOUSE 151","","BARLOW MOOR RD","","","","Os House 151","","NW","E0029519","West Didsbury","Didsbury","Manchester","","","","","0","U",383342,391940,-2.25214,53.42401,"BCT","MKD","OTH","","","","083","2007-11-01T00:00:00","2007-11-01T00:00:00",0,"new","act"
"1800SB33811","mangwdwt","",,"Barlow Moor Rd/Barlow Moor Ct","","Barlow Moor Ct","","OS HOUSE 150","","BARLOW MOOR RD","","","","Stop D","","E","E0029519","West Didsbury","Didsbury","Manchester","","","","","0","U",383573,391835,-2.24866,53.42307,"BCT","MKD","OTH","","NAME AMENDED","","083","2010-03-30T00:00:00","2010-03-30T00:00:00",1,"new","act"
"1800SB33821","mangwgad","",,"Burton Rd/Barlow Moor Rd","","Barlow Moor Rd","","MOSQUE","","BURTON ROAD","","","","Stop C","","SW","E0029519","West Didsbury","Didsbury","Manchester","","","","","0","U",383688,391812,-2.24693,53.42287,"BCT","MKD","OTH","","","","083","2007-11-01T00:00:00","2007-11-01T00:00:00",0,"new","act"
"1800SB33831","mangwgag","",,"Elizabeth Slinger Rd/Nell Lane","","Nell Lane","","OPP HOSPITAL","","ELIZABETH SL RD","","","","Stop H","","NE","E0029519","West Didsbury","Didsbury","Manchester","","","","","0","U",383657,392192,-2.24741,53.42628,"BCT","MKD","TIP","","STOP NAME AMENDED","","083","2008-02-15T00:00:00","2008-02-15T00:00:00",1,"new","act"
"1800SB33841","mangwgaj","",,"Barlow Moor Road/Clyde Road","","Clyde Road","","ROSCARREL HSE","","BARLOW MOOR RD","","","","Roscarrel Hse","","SE","E0029519","West Didsbury","Didsbury","Manchester","","","","","0","U",383783,391724,-2.24549,53.42208,"BCT","MKD","OTH","","","","083","2007-11-01T00:00:00","2007-11-01T00:00:00",0,"new","act"
